,Normalised Whole Rock Major data (wt%),,,,,,,,,,,,Whole Rock Trace data (ug/g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SO3,,Th,U,Cs,La,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Y,Zr,Nb,Mo,Pb,P,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Ba,Ce,,,,
AGV-2,60.09,1.05,17.22,6.79,0.10,1.79,5.17,4.37,2.95,0.48,0.00,,7.87,2.44,1.31,44.99,9.37,34.35,6.49,1.74,5.01,0.69,4.09,0.76,2.06,0.30,1.86,0.27,5.98,0.90,20.03,252.81,14.42,2.21,16.03,Over range,14.28,134.98,17.92,17.53,21.15,59.09,104.06,23.70,74.51,746.29,Over range,76.81,,,,
BHVO-2,49.53,2.75,13.48,12.39,0.17,7.33,11.30,2.28,0.51,0.26,0.04,,1.45,0.50,0.11,17.62,6.15,29.44,6.98,2.39,7.29,1.05,6.32,1.15,3.11,0.39,2.31,0.31,5.10,1.23,26.38,181.23,18.81,4.66,1.79,1225.06,34.58,358.49,319.52,49.58,137.51,146.21,118.18,24.33,9.79,443.17,149.70,41.16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blanks ,,,,,,,,,,,,,Below DL,Below DL,Below DL,0.001,Below DL,0.002,0.001,Below DL,Below DL,Below DL,Below DL,Below DL,Below DL,Below DL,Below DL,Below DL,Below DL,0.000,Below DL,0.028,Below DL,Below DL,0.009,Below DL,Below DL,Below DL,Below DL,Below DL,Below DL,0.126,1.081,Below DL,Below DL,Below DL,Below DL,0.003,,,,
Blanks ,,,,,,,,,,,,,Below DL,Below DL,Below DL,Below DL,Below DL,0.002,0.002,Below DL,Below DL,Below DL,0.001,Below DL,Below DL,Below DL,Below DL,Below DL,0.001,Below DL,Below DL,0.010,Below DL,Below DL,0.010,Below DL,Below DL,Below DL,Below DL,Below DL,Below DL,0.087,0.944,Below DL,Below DL,Below DL,0.592,Below DL,,,,
Blanks ,,,,,,,,,,,,,Below DL,0.000,Below DL,0.001,Below DL,Below DL,Below DL,Below DL,Below DL,Below DL,Below DL,Below DL,Below DL,Below DL,Below DL,Below DL,0.002,Below DL,Below DL,0.017,Below DL,Below DL,Below DL,1.138,Below DL,Below DL,Below DL,Below DL,Below DL,Below DL,0.760,Below DL,Below DL,Below DL,Below DL,Below DL,,,,
Blanks ,,,,,,,,,,,,,Below DL,0.001,Below DL,Below DL,Below DL,Below DL,Below DL,Below DL,Below DL,Below DL,Below DL,Below DL,0.001,Below DL,0.001,Below DL,Below DL,Below DL,Below DL,0.050,Below DL,Below DL,0.011,0.744,Below DL,Below DL,Below DL,Below DL,Below DL,Below DL,1.367,Below DL,Below DL,Below DL,Below DL,Below DL,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Same powder digested separately,,,,,,,,,,,,,4.56,1.31,2.54,22.42,6.83,30.29,7.14,2.02,7.35,1.12,6.92,1.43,4.17,0.59,4.00,0.60,5.19,0.35,35.70,187.50,5.91,1.40,17.06,1833.06,24.06,123.07,0.17,11.13,Below DL,10.67,103.20,23.46,35.46,508.58,542.52,50.32,,,,
,,,,,,,,,,,,,4.58,1.32,2.56,22.57,6.93,29.08,6.78,1.89,6.73,1.06,6.63,1.30,3.95,0.58,3.76,0.57,5.09,0.32,35.74,187.14,5.89,1.39,16.90,Over range,23.90,126.25,0.20,11.43,Below DL,10.79,104.01,23.25,35.59,514.39,538.46,51.38,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Same solution run separately,,,,,,,,,,,,,7.17,1.82,3.34,23.52,7.19,31.50,7.39,1.92,7.38,1.19,7.60,1.59,4.77,0.68,4.62,0.73,6.20,0.32,42.84,215.06,5.18,1.50,21.14,1107.01,15.36,35.73,1.06,3.22,Below DL,8.60,86.33,20.12,42.77,372.14,637.80,49.69,,,,
,,,,,,,,,,,,,7.33,1.99,3.49,22.35,7.15,33.44,7.89,1.99,8.03,1.28,7.84,1.68,5.00,0.73,4.86,0.78,6.89,0.36,44.29,235.76,5.67,1.61,22.86,1242.62,15.96,40.70,1.18,3.65,Below DL,9.29,92.89,22.24,46.68,393.61,672.41,52.65,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Same sample powdered & digested separately,55.96,1.47,16.54,9.95,0.18,3.17,6.71,4.18,1.20,0.30,,,4.37,1.27,2.39,17.05,5.55,26.97,6.60,1.93,7.17,1.12,7.24,1.45,4.21,0.60,3.94,0.60,4.54,0.23,34.70,147.06,3.79,1.16,13.07,1420.80,34.83,300.22,9.39,22.85,Below DL,91.41,110.40,22.88,30.97,441.37,403.17,39.01,,,,
,55.96,1.47,16.54,9.95,0.18,3.17,6.71,4.18,1.20,0.30,,,4.35,1.26,2.42,17.87,5.72,27.60,6.74,1.96,7.37,1.14,7.30,1.50,4.36,0.62,4.09,0.61,4.86,0.24,36.64,156.07,4.02,1.21,13.64,1484.77,36.13,321.85,10.10,24.31,Below DL,96.97,115.61,24.14,33.08,461.57,418.11,40.86,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Below DL= Below the detection limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
